Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Region of Headquarters,Year,CSR Strategy Score,Community Score,Company Market Cap (EUR),ESG Controversies Score,ESG Score,Emissions Score,Innovation Score,Environmental Pillar Score,Governance Pillar Score,Human Rights Score,Independent Board Members,Management Score,Product Responsibility Score,Resource Use Score,Shareholders Score,Social Pillar Score,Total Debt Percentage of Total Equity,Workforce Score
KALD.NS,Kalahridhaan Trendz Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,3.3689598,
KALL.BO,Kallam Textiles Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,2.6571826,
KAND.BO,Kandagiri Spinning Millis Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,,,,,,,,,,,,,,,,
KANN.NS,Kanani Industries Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.0007556,
KAYX.NS,Kaytex Fabrics Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
KCKI.NS,KCK Industries Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods Wholesale,Asia,2025,,,,,,,,,,,,,,,,,0.1161112,
KDDL.NS,KDDL Ltd,Textiles & Apparel,Apparel & Accessories,Watches,Asia,2025,,,,,,,,,,,,,,,,,0.321418,
KENE.NS,Ken Enterprises Ltd,Textiles & Apparel,Textiles & Leather Goods,Fabric Dyeing & Finishing,Asia,2025,,,,,,,,,,,,,,,,,0.3152701,
KENR.BO,Kenrik Industries Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.078152,
KENV.BO,Kenvi Jewels Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.5446372,
KGDE.BO,K G Denim Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,,
KGJI.PK,Kingold Jewelry Inc,Textiles & Apparel,Apparel & Accessories,Jewelry,Americas,2025,,,,,,,,,,,,,,,,,3.1275948,
KGPC.BO,KG Petrochem Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.6666781,
KHAN.DH,Khan Brothers PP Woven Bag Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.0102911,
KHAS.PSX,Khalid Siraj Textile Mills Ltd,Textiles & Apparel,Textiles & Leather Goods,Yarn Goods,Asia,2025,,,,,,,,,,,,,,,,,,
KHAZ.BO,Khazanchi Jewellers Ltd,Textiles & Apparel,Apparel & Accessories,Jewelry,Asia,2025,,,,,,,,,,,,,,,,,0.2815049,
KITE.NS,Kitex Garments Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),Asia,2025,,,,,,,,,,,,,,,,,0.7911235,
